"Country","Year","Total CO2 Emissions Excluding Land-Use Change and Forestry (MtCO2)","iso2","cumulativeShare"
"Japan",1876,0,"JP",0
"Russian Federation",1876,5.3767,"RU",0.768293170854386
"Switzerland",1876,1.4912,"CH",0.21308214636823
"United States",1876,132.8237,"US",18.979586295983
"others",1876,22.8376999999999,NA,3.26334907062346
"China",1877,0,"CN",0
"European Union (28)",1877,535.719,NA,75.3667615810561
"India",1877,0,"IN",0
"Japan",1877,0,"JP",0
"Russian Federation",1877,5.4849,"RU",0.771634290730653
"Switzerland",1877,1.418,"CH",0.19948903795075
"United States",1877,147.1792,"US",20.7056678521586
"others",1877,21.0149,NA,2.95644723810381
"China",1878,0,"CN",0
"European Union (28)",1878,539.4084,NA,75.1114539702344
"India",1878,1.9529,"IN",0.271937104536138
"Japan",1878,0,"JP",0
"Russian Federation",1878,7.1712,"RU",0.998574102129935
"Switzerland",1878,1.3593,"CH",0.189279587380804
"United States",1878,143.9036,"US",20.0382653061224
"others",1878,24.3485999999999,NA,3.39048992959628
"China",1879,0,"CN",0
"European Union (28)",1879,556.8221,NA,72.3671891245581
"India",1879,1.854,"IN",0.240954460386775
"Japan",1879,0,"JP",0
"Russian Federation",1879,7.3583,"RU",0.956318881264296
"Switzerland",1879,1.4473,"CH",0.18809783738823
"United States",1879,175.469,"US",22.8047671033479
"others",1879,26.4893000000001,NA,3.4426725930547
"China",1880,0,"CN",0
"European Union (28)",1880,625.8858,NA,72.3815085855969
"India",1880,2.0738,"IN",0.23982773295833
"Japan",1880,0,"JP",0
"Russian Federation",1880,8.632,"RU",0.998260676485826
"Switzerland",1880,1.6708,"CH",0.193222189327215
"United States",1880,198.6841,"US",22.9771228073422
"others",1880,27.7574999999999,NA,3.21005800828953
"China",1881,0,"CN",0
"European Union (28)",1881,642.3375,NA,72.1442193649253
"India",1881,2.0189,"IN",0.22675301453807
"Japan",1881,0,"JP",0
"Russian Federation",1881,9.0942,"RU",1.02141624885439
"Switzerland",1881,1.5645,"CH",0.175717019785433
"United States",1881,210.1927,"US",23.6078202778227
"others",1881,25.1442,NA,2.82407407407407
"China",1882,0,"CN",0
"European Union (28)",1882,663.8132,NA,70.7702050354803
"India",1882,2.4036,"IN",0.256251705786026
"Japan",1882,0,"JP",0
"Russian Federation",1882,9.5766,"RU",1.02097690365721
"Switzerland",1882,1.7257,"CH",0.183979684088428
"United States",1882,235.3937,"US",25.0957052572325
"others",1882,25.0712,NA,2.67288141375546
"China",1883,0,"CN",0
"European Union (28)",1883,700.258,NA,70.2641359491395
"India",1883,2.682,"IN",0.269112830721808
"Japan",1883,0,"JP",0
"Russian Federation",1883,10.8999,"RU",1.09369982982276
"Switzerland",1883,1.9163,"CH",0.192282221294631
"United States",1883,253.8859,"US",25.4750012040843
"others",1883,26.9658999999999,NA,2.70576796493706
"China",1884,0,"CN",0
"European Union (28)",1884,695.2986,NA,69.0054188169909
"India",1884,2.9862,"IN",0.296367606192934
"Japan",1884,0,"JP",0
"Russian Federation",1884,11.0668,"RU",1.09833267169512
"Switzerland",1884,1.9639,"CH",0.194908693926161
"United States",1884,267.5892,"US",26.5570861452957
"others",1884,28.6953000000001,NA,2.84788606589918
"China",1885,0,"CN",0
"European Union (28)",1885,696.1367,NA,68.3430362696742
"India",1885,2.6967,"IN",0.264747808739908
"Japan",1885,0,"JP",0
"Russian Federation",1885,12.0542,"RU",1.18341789450536
"Switzerland",1885,2.0482,"CH",0.201081492884295
"United States",1885,272.1619,"US",26.719422496937
"others",1885,33.4943,NA,3.28829403725927
"China",1886,0,"CN",0
"European Union (28)",1886,695.0622,NA,67.2696390411595
"India",1886,3.0265,"IN",0.292911285577132
"Japan",1886,0,"JP",0
"Russian Federation",1886,12.363,"RU",1.19651816408065
"Switzerland",1886,2.0848,"CH",0.201771501130416
"United States",1886,287.4628,"US",27.8212781442597
"others",1886,33.2487000000001,NA,3.21788186379263
"China",1887,0,"CN",0
"European Union (28)",1887,721.2502,NA,66.7280549182148
"India",1887,3.3562,"IN",0.310506254163274
"Japan",1887,0,"JP",0
"Russian Federation",1887,13.0844,"RU",1.21053215898157
"Switzerland",1887,2.2607,"CH",0.20915365257938
"United States",1887,307.3803,"US",28.4379672119014
"others",1887,33.5482000000002,NA,3.10378580415959
"China",1888,0,"CN",0
"European Union (28)",1888,764.3753,NA,63.7974657131792
"India",1888,3.7263,"IN",0.311010175874364
"Japan",1888,0,"JP",0
"Russian Federation",1888,13.6435,"RU",1.13873475955824
"Switzerland",1888,2.3047,"CH",0.192358412456766
"United States",1888,373.8746,"US",31.2048963049023
"others",1888,40.2035999999998,NA,3.35553463402907
"China",1889,0,"CN",0
"European Union (28)",1889,799.4057,NA,66.7212267804442
"India",1889,4.3785,"IN",0.365445094347182
"Japan",1889,0,"JP",0
"Russian Federation",1889,14.7391,"RU",1.23017741009308
"Switzerland",1889,2.5465,"CH",0.212539895570423
"United States",1889,335.5418,"US",28.0055052548643
"others",1889,41.5164,NA,3.4651055646809
"China",1890,0,"CN",0
"European Union (28)",1890,834.4674,NA,63.9740597860753
"India",1890,4.8292,"IN",0.370228398999068
"Japan",1890,0,"JP",0
"Russian Federation",1890,16.6892,"RU",1.27946984936951
"Switzerland",1890,2.8762,"CH",0.220502551395908
"United States",1890,401.7503,"US",30.8000021466071
"others",1890,43.7717,NA,3.35573726755311
"China",1891,0,"CN",0
"European Union (28)",1891,861.5886,NA,63.3826757612495
"India",1891,5.1992,"IN",0.382478607328241
"Japan",1891,0,"JP",0
"Russian Federation",1891,18.3755,"RU",1.35179174660719
"Switzerland",1891,3.5211,"CH",0.259029355336103
"United States",1891,427.4239,"US",31.4433947551172
"others",1891,43.2357,NA,3.18062977436175
"China",1892,0,"CN",0
"European Union (28)",1892,846.4101,NA,61.766610524718
"India",1892,5.7158,"IN",0.41710938047311
"Japan",1892,0,"JP",0
"Russian Federation",1892,19.4531,"RU",1.41958614529575
"Switzerland",1892,3.4698,"CH",0.253207972351307
"United States",1892,450.4485,"US",32.8713906662308
"others",1892,44.8387,NA,3.27209531093104
"China",1893,0,"CN",0
"European Union (28)",1893,817.866,NA,60.3288386639915
"India",1893,6.0163,"IN",0.443784668948424
"Japan",1893,0,"JP",0
"Russian Federation",1893,22.7986,"RU",1.68170954797592
"Switzerland",1893,2.8762,"CH",0.21215921161336
"United States",1893,454.0942,"US",33.495677446005
"others",1893,52.0287000000001,NA,3.83783046146584
"China",1894,0,"CN",0
"European Union (28)",1894,889.0292,NA,63.3522124801897
"India",1894,6.1335,"IN",0.437073152656002
"Japan",1894,0,"JP",0
"Russian Federation",1894,23.2179,"RU",1.65450733692864
"Switzerland",1894,3.5834,"CH",0.25535305049768
"United States",1894,425.046,"US",30.2887739861129
"others",1894,56.3019999999999,NA,4.0120799936151
"China",1895,0,"CN",0
"European Union (28)",1895,908.546,NA,61.0752737324413
"India",1895,7.6797,"IN",0.516253199819304
"Japan",1895,0,"JP",0
"Russian Federation",1895,26.6829,"RU",1.79370711166563
"Switzerland",1895,3.8472,"CH",0.258620689655172
"United States",1895,479.951,"US",32.263791490094
"others",1895,60.8771999999999,NA,4.09235377632456
"China",1896,0,"CN",0
"European Union (28)",1896,950.9631,NA,61.9432770372378
"India",1896,8.31,"IN",0.541291909412096
"Japan",1896,0,"JP",0
"Russian Federation",1896,27.1608,"RU",1.76918427113839
"Switzerland",1896,4.2099,"CH",0.274221998728518
"United States",1896,480.8853,"US",31.323624818918
"others",1896,63.6868999999999,NA,4.14839996456524
"China",1897,0,"CN",0
"European Union (28)",1897,994.1689,NA,61.6668879019452
"India",1897,8.9988,"IN",0.558182810639142
"Japan",1897,0,"JP",0
"Russian Federation",1897,31.4035,"RU",1.94791459904724
"Switzerland",1897,4.4408,"CH",0.275456530369194
"United States",1897,500.2899,"US",31.0322734716157
"others",1897,72.8581000000001,NA,4.51928468638349
"China",1898,0,"CN",0
"European Union (28)",1898,1021.9693,NA,60.1124465912513
"India",1898,9.9734,"IN",0.58663746047282
"Japan",1898,0,"JP",0
"Russian Federation",1898,35.2202,"RU",2.07165948275862
"Switzerland",1898,4.7485,"CH",0.279307756738443
"United States",1898,545.3204,"US",32.0758592455955
"others",1898,82.8642,NA,4.87408946318325
"China",1899,0.0953,"CN",0.00512004435580924
"European Union (28)",1899,1083.4203,NA,58.2073451414916
"India",1899,10.9883,"IN",0.590352396589073
"Japan",1899,0,"JP",0
"Russian Federation",1899,40.8584,"RU",2.19513977237562
"Switzerland",1899,5.1223,"CH",0.275198354708936
"United States",1899,625.5327,"US",33.6070846800536
"others",1899,95.2946999999999,NA,5.11975961042533
"China",1900,0,"CN",0
"European Union (28)",1900,1131.3256,NA,57.8217048558298
"India",1900,13.0512,"IN",0.66704283401207
"Japan",1900,0,"JP",0
"Russian Federation",1900,46.2847,"RU",2.36559683855879
"Switzerland",1900,5.6719,"CH",0.289889071520861
"United States",1900,662.737,"US",33.8722850530723
"others",1900,97.5056000000002,NA,4.98348134700621
"China",1901,0,"CN",0
"European Union (28)",1901,1119.8233,NA,55.2673833476788
"India",1901,14.3959,"IN",0.710490417492518
"Japan",1901,0,"JP",0
"Russian Federation",1901,47.5179,"RU",2.34518249010953
"Switzerland",1901,5.1846,"CH",0.255879008504623
"United States",1901,721.5259,"US",35.6099471323547
"others",1901,117.7444,NA,5.81111760385985
"China",1902,0.0953,"CN",0.00459537549956023
"European Union (28)",1902,1122.5137,NA,54.127722506828
"India",1902,15.8798,"IN",0.765725538907834
"Japan",1902,0,"JP",0
"Russian Federation",1902,45.8947,"RU",2.21304700881078
"Switzerland",1902,5.2359,"CH",0.252475619917601
"United States",1902,764.4936,"US",36.8639575971731
"others",1902,119.711,NA,5.77247635286312
"China",1903,1.9639,"CN",0.0868717841648206
"European Union (28)",1903,1172.3905,NA,51.8598984026102
"India",1903,16.1656,"IN",0.715074349047723
"Japan",1903,0,"JP",0
"Russian Federation",1903,44.8938,"RU",1.98584678646501
"Switzerland",1903,5.6719,"CH",0.250892648609627
"United States",1903,894.4044,"US",39.5633718584785
"others",1903,125.1979,NA,5.53804417062417
"China",1904,2.0885,"CN",0.0913470286082186
"European Union (28)",1904,1188.2937,NA,51.9737125251932
"India",1904,18.0672,"IN",0.790225058784011
"Japan",1904,0,"JP",0
"Russian Federation",1904,49.9481,"RU",2.18463515423805
"Switzerland",1904,5.9613,"CH",0.260735954820289
"United States",1904,880.2247,"US",38.4993587994066
"others",1904,141.7525,NA,6.19998547894973
"China",1905,2.2973,"CN",0.0944265599515968
"European Union (28)",1905,1232.419,NA,50.656460448782
"India",1905,18.4739,"IN",0.759337842636923
"Japan",1905,0,"JP",0
"Russian Federation",1905,44.5849,"RU",1.83258552770032
"Switzerland",1905,6.2398,"CH",0.25647623244068
"United States",1905,984.4985,"US",40.4661152798969
"others",1905,144.3826,NA,5.93459810859157
"China",1906,17.1109,"CN",0.659605290750746
"European Union (28)",1906,1264.4734,NA,48.7439786716996
"India",1906,21.3428,"IN",0.82274011299435
"Japan",1906,0,"JP",0
"Russian Federation",1906,50.8543,"RU",1.96037410875089
"Switzerland",1906,6.8956,"CH",0.265817358695384
"United States",1906,1033.3396,"US",39.8340395480226
"others",1906,200.0954,NA,7.71344490908643
"China",1907,16.8397,"CN",0.586971646394173
"European Union (28)",1907,1399.8244,NA,48.7928664246237
"India",1907,23.816,"IN",0.830140485312899
"Japan",1907,0,"JP",0
"Russian Federation",1907,56.9615,"RU",1.9854739357638
"Switzerland",1907,7.9985,"CH",0.278799070867284
"United States",1907,1201.8067,"US",41.8906784174628
"others",1907,161.6652,NA,5.63507001957536
"China",1908,22.7315,"CN",0.828306009176719
"European Union (28)",1908,1422.1296,NA,51.820535094828
"India",1908,27.2492,"IN",0.992925064569353
"Japan",1908,0,"JP",0
"Russian Federation",1908,57.3131,"RU",2.08841410089727
"Switzerland",1908,8.0022,"CH",0.291589659575212
"United States",1908,1050.9744,"US",38.2961270048566
"others",1908,155.936,NA,5.68210306609685
"China",1909,20.8372,"CN",0.724459711289739
"European Union (28)",1909,1418.814,NA,49.3287764581537
"India",1909,26.3185,"IN",0.915031429922399
"Japan",1909,0,"JP",0
"Russian Federation",1909,60.4963,"RU",2.10331196284037
"Switzerland",1909,8.0681,"CH",0.280508580646956
"United States",1909,1163.353,"US",40.4470072038495
"others",1909,178.3529,NA,6.20090465329736
"China",1910,18.7487,"CN",0.624786724677554
"European Union (28)",1910,1440.4995,NA,48.0035930226978
"India",1910,25.6956,"IN",0.856287089911544
"Japan",1910,0,"JP",0
"Russian Federation",1910,59.3308,"RU",1.97715554702454
"Switzerland",1910,7.7897,"CH",0.259586059258548
"United States",1910,1269.2279,"US",42.2960921296074
"others",1910,179.5238,NA,5.98249942682257
"China",1911,27.8464,"CN",0.910179640718563
"European Union (28)",1911,1472.088,NA,48.1162565698298
"India",1911,27.1136,"IN",0.88622754491018
"Japan",1911,0,"JP",0
"Russian Federation",1911,61.5131,"RU",2.01059997908114
"Switzerland",1911,8.6104,"CH",0.281437125748503
"United States",1911,1256.3856,"US",41.0658682634731
"others",1911,205.8829,NA,6.72943087623879
"China",1912,9.7865,"CN",0.30386666567308
"European Union (28)",1912,1517.5405,NA,47.1189875602983
"India",1912,31.2173,"IN",0.969283897442012
"Japan",1912,0,"JP",0
"Russian Federation",1912,69.6807,"RU",2.16355612024383
"Switzerland",1912,8.7606,"CH",0.272012906687333
