"Country","Year","Total CO2 Emissions Excluding Land-Use Change and Forestry (MtCO2)","iso2","cumulativeShare"
"Switzerland",1996,44.5437,"CH",0.19051249999706
"United States",1996,5359.2681,"US",22.9214807904483
"others",1996,6958.7219,NA,29.7623122002278
"China",1997,3317.7461,"CN",14.0458619618522
"European Union (28)",1997,4010.2763,NA,16.9777269389865
"India",1997,897.9191,"IN",3.80139026657602
"Japan",1997,1193.1347,"JP",5.05120186806818
"Russian Federation",1997,1439.724,"RU",6.09515133396304
"Switzerland",1997,43.197,"CH",0.182876893191474
"United States",1997,5538.4548,"US",23.4473553002617
"others",1997,7180.3561,NA,30.3984354371009
"China",1998,3406.1909,"CN",14.3588433862157
"European Union (28)",1998,4017.1011,NA,16.934143521285
"India",1998,913.3627,"IN",3.85029270206526
"Japan",1998,1156.6075,"JP",4.8756944162532
"Russian Federation",1998,1429.5059,"RU",6.02610127863688
"Switzerland",1998,45.0754,"CH",0.190015952767364
"United States",1998,5527.8655,"US",23.3027910956385
"others",1998,7226.194,NA,30.4621176471382
"China",1999,3325.5182,"CN",13.9217742403106
"European Union (28)",1999,3957.7691,NA,16.5685961079621
"India",1999,981.0162,"IN",4.10687455040461
"Japan",1999,1195.8929,"JP",5.00642304991454
"Russian Federation",1999,1470.3604,"RU",6.15543933594853
"Switzerland",1999,45.1597,"CH",0.189054189557631
"United States",1999,5555.7168,"US",23.2581601967178
"others",1999,7355.739,NA,30.7936783291842
"China",2000,3607.5575,"CN",14.5712101888065
"European Union (28)",2000,3975.71,NA,16.0582072662016
"India",2000,1029.8078,"IN",4.15947518726241
"Japan",2000,1211.0103,"JP",4.89136642232581
"Russian Federation",2000,1512.8636,"RU",6.11057578502754
"Switzerland",2000,44.3296,"CH",0.179050761958948
"United States",2000,5747.8546,"US",23.2160395257174
"others",2000,7628.9852,NA,30.8140748626998
"China",2001,3725.5473,"CN",14.902750556808
"European Union (28)",2001,4048.833,NA,16.1959420687458
"India",2001,1048.1703,"IN",4.19283913586457
"Japan",2001,1194.5759,"JP",4.77848359592009
"Russian Federation",2001,1515.6909,"RU",6.06299198078193
"Switzerland",2001,45.3376,"CH",0.181357231364191
"United States",2001,5728.176,"US",22.9135671082458
"others",2001,7692.7273,NA,30.7720683222696
"China",2002,3966.6604,"CN",15.5925479337759
"European Union (28)",2002,4021.3584,NA,15.8075603373791
"India",2002,1084.5234,"IN",4.2631537350164
"Japan",2002,1228.8536,"JP",4.83050141161394
"Russian Federation",2002,1514.7774,"RU",5.95443946209776
"Switzerland",2002,44.3496,"CH",0.174333871345223
"United States",2002,5656.2335,"US",22.23409192614
"others",2002,7922.7063,NA,31.1433713226316
"China",2003,4606.2084,"CN",17.308460079689
"European Union (28)",2003,4132.1817,NA,15.5272397133554
"India",2003,1115.4326,"IN",4.19139104272479
"Japan",2003,1234.4257,"JP",4.63852394298793
"Russian Federation",2003,1547.9598,"RU",5.81667134367245
"Switzerland",2003,45.569,"CH",0.171231770010959
"United States",2003,5733.5668,"US",21.5446639522497
"others",2003,8197.124,NA,30.8018181553098
"China",2004,5320.6349,"CN",19.0844818802864
"European Union (28)",2004,4135.4186,NA,14.833252576511
"India",2004,1200.1972,"IN",4.30496400273029
"Japan",2004,1234.6532,"JP",4.4285535592449
"Russian Federation",2004,1556.9974,"RU",5.58476370328531
"Switzerland",2004,46.0599,"CH",0.165211359824333
"United States",2004,5820.2978,"US",20.8767130219686
"others",2004,8565.1193,NA,30.7220598961491
"China",2005,5935.7037,"CN",20.5434922734201
"European Union (28)",2005,4116.9205,NA,14.2486769482841
"India",2005,1265.2419,"IN",4.37900685586063
"Japan",2005,1242.7881,"JP",4.30129417171689
"Russian Federation",2005,1562.6682,"RU",5.40840037089777
"Switzerland",2005,46.6242,"CH",0.161366527182681
"United States",2005,5830.4835,"US",20.1793247753511
"others",2005,8892.9227,NA,30.7784380772868
"China",2006,6529.7785,"CN",21.8764006564242
"European Union (28)",2006,4138.0079,NA,13.8633674541714
"India",2006,1364.5367,"IN",4.57154121837285
"Japan",2006,1227.932,"JP",4.1138811080413
"Russian Federation",2006,1621.6612,"RU",5.43297297759451
"Switzerland",2006,46.2715,"CH",0.155021165415294
"United States",2006,5741.3823,"US",19.2350750513976
"others",2006,9178.9347,NA,30.7517403685829
"China",2007,6994.716,"CN",22.6273702065124
"European Union (28)",2007,4090.6062,NA,13.2327975655416
"India",2007,1490.4657,"IN",4.82154231480001
"Japan",2007,1262.7471,"JP",4.08489009545204
"Russian Federation",2007,1626.3681,"RU",5.26117616365871
"Switzerland",2007,44.2532,"CH",0.14315571057107
"United States",2007,5818.1865,"US",18.8213874396091
"others",2007,9585.2906,NA,31.0076805038551
"China",2008,7187.6056,"CN",23.0768634576803
"European Union (28)",2008,3992.3396,NA,12.8179926602943
"India",2008,1577.4603,"IN",5.06466798247965
"Japan",2008,1174.5979,"JP",3.77121907690345
"Russian Federation",2008,1647.6993,"RU",5.29018060832601
"Switzerland",2008,45.7932,"CH",0.14702579447184
"United States",2008,5638.2693,"US",18.1024917079105
"others",2008,9882.6062,NA,31.7295587119339
"China",2009,7612.1518,"CN",24.7803550341402
"European Union (28)",2009,3675.2027,NA,11.9641370956936
"India",2009,1779.4282,"IN",5.7926935395273
"Japan",2009,1112.5478,"JP",3.62175245591551
"Russian Federation",2009,1535.1824,"RU",4.99758358919793
"Switzerland",2009,44.3532,"CH",0.144385985957378
"United States",2009,5224.0551,"US",17.0062215648289
"others",2009,9735.5725,NA,31.6928707347392
"China",2010,8159.6833,"CN",25.2309816730342
"European Union (28)",2010,3784.6229,NA,11.7026295651996
"India",2010,1860.7368,"IN",5.75368116298585
"Japan",2010,1159.7273,"JP",3.58605318076713
"Russian Federation",2010,1636.502,"RU",5.06031306017524
"Switzerland",2010,45.8232,"CH",0.141692303106884
"United States",2010,5469.9155,"US",16.9138105805584
"others",2010,10222.9249,NA,31.6108384741727
"China",2011,9000.7301,"CN",26.9717329560506
"European Union (28)",2011,3654.7955,NA,10.9520191295343
"India",2011,1950.061,"IN",5.84358423768411
"Japan",2011,1208.9501,"JP",3.62275936419765
"Russian Federation",2011,1712.8704,"RU",5.13281506098306
"Switzerland",2011,41.7543,"CH",0.125121608675592
"United States",2011,5334.3187,"US",15.9849054332678
"others",2011,10467.4943,NA,31.3670622096069
"China",2012,9312.5329,"CN",27.5168254118659
"European Union (28)",2012,3610.5137,NA,10.6684052767266
"India",2012,2075.1808,"IN",6.13177836629776
"Japan",2012,1249.2135,"JP",3.69119660040567
"Russian Federation",2012,1721.5376,"RU",5.08682762121169
"Switzerland",2012,43.1536,"CH",0.12751096719277
"United States",2012,5122.9094,"US",15.1372569712593
"others",2012,10708.0082,NA,31.6401987850404
